ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-08-12,0.5537248,-4.037999213409609,1.5741013286698289,0.5537248,0.5537248,-1.9194722398583945,-1.9194722398583945,-1.9194722398583945,-1.781408,-1.781408,-1.781408,-0.13806423985839447,-0.13806423985839447,-0.13806423985839447,0.0,0.0,0.0,-1.3657474398583944
2022-08-13,0.5948766446601942,-5.19125570336208,0.5122462112708097,0.5948766446601942,0.5948766446601942,-2.7938154823985983,-2.7938154823985983,-2.7938154823985983,-1.781408,-1.781408,-1.781408,-1.012407482398598,-1.012407482398598,-1.012407482398598,0.0,0.0,0.0,-2.198938837738404
2022-08-14,0.6360284893203884,-5.151289319075595,0.6556017694298696,0.6360284893203884,0.6360284893203884,-2.9885746363898433,-2.9885746363898433,-2.9885746363898433,-1.781408,-1.781408,-1.781408,-1.2071666363898428,-1.2071666363898428,-1.2071666363898428,0.0,0.0,0.0,-2.352546147069455
2022-08-15,0.6771803339805826,-3.6018109223740646,2.3216630363669775,0.6771803339805826,0.6771803339805826,-1.4837877311234409,-1.4837877311234409,-1.4837877311234409,-1.781408,-1.781408,-1.781408,0.29762026887655924,0.29762026887655924,0.29762026887655924,0.0,0.0,0.0,-0.8066073971428582
2022-08-16,0.7183321757827262,-2.7281242273917727,3.242843042314666,0.7183321757827262,0.7183321757827262,-0.5238184848637772,-0.5238184848637772,-0.5238184848637772,-1.781408,-1.781408,-1.781408,1.2575895151362229,1.2575895151362229,1.2575895151362229,0.0,0.0,0.0,0.194513690918949
2022-08-17,0.7594840175848699,-3.9168578201078064,2.223647580783352,0.7594840175848699,0.7594840175848699,-1.6719391053618466,-1.6719391053618466,-1.6719391053618466,-1.781408,-1.781408,-1.781408,0.10946889463815333,0.10946889463815333,0.10946889463815333,0.0,0.0,0.0,-0.9124550877769767
2022-08-18,0.8006358593870136,-3.1966163437398447,2.843188397091139,0.8006358593870136,0.8006358593870136,-1.0884483200003658,-1.0884483200003658,-1.0884483200003658,-1.781408,-1.781408,-1.781408,0.6929596799996343,0.6929596799996343,0.6929596799996343,0.0,0.0,0.0,-0.2878124606133522
2022-08-19,0.8417877011891572,-3.9849306325828016,1.7430530162881503,0.8417877011891572,0.8417877011891572,-1.9194722398587896,-1.9194722398587896,-1.9194722398587896,-1.781408,-1.781408,-1.781408,-0.13806423985878968,-0.13806423985878968,-0.13806423985878968,0.0,0.0,0.0,-1.0776845386696323
2022-08-20,0.8829395430833311,-4.796621330948316,1.0747368231653986,0.8829395430833311,0.8829395430833311,-2.7938154823978536,-2.7938154823978536,-2.7938154823978536,-1.781408,-1.781408,-1.781408,-1.0124074823978533,-1.0124074823978533,-1.0124074823978533,0.0,0.0,0.0,-1.9108759393145225
2022-08-21,0.924091384977505,-4.952040656013234,0.7513942665651921,0.924091384977505,0.924091384977505,-2.9885746363884986,-2.9885746363884986,-2.9885746363884986,-1.781408,-1.781408,-1.781408,-1.207166636388498,-1.207166636388498,-1.207166636388498,0.0,0.0,0.0,-2.0644832514109934
2022-08-22,0.9652432268716787,-3.4560993965749165,2.532181447189875,0.9652432268716787,0.9652432268716787,-1.4837877311268624,-1.4837877311268624,-1.4837877311268624,-1.781408,-1.781408,-1.781408,0.29762026887313764,0.29762026887313764,0.29762026887313764,0.0,0.0,0.0,-0.5185445042551836
2022-08-23,1.006395069742317,-2.5562722903620063,3.40609322373152,1.006395069742317,1.006395069742317,-0.5238184848638208,-0.5238184848638208,-0.5238184848638208,-1.781408,-1.781408,-1.781408,1.2575895151361793,1.2575895151361793,1.2575895151361793,0.0,0.0,0.0,0.4825765848784962
2022-08-24,1.0475469126129553,-3.5830856392879626,2.309290779429159,1.0475469126129553,1.0475469126129553,-1.671939105362323,-1.671939105362323,-1.671939105362323,-1.781408,-1.781408,-1.781408,0.10946889463767702,0.10946889463767702,0.10946889463767702,0.0,0.0,0.0,-0.6243921927493676
2022-08-25,1.0886987554835936,-3.1071402242945503,2.5687160448129593,1.0886987554835936,1.0886987554835936,-1.0884483199998969,-1.0884483199998969,-1.0884483199998969,-1.781408,-1.781408,-1.781408,0.6929596800001031,0.6929596800001031,0.6929596800001031,0.0,0.0,0.0,0.0002504354836967426
2022-08-26,1.1298505976719375,-3.6694027988390947,2.0350801377063115,1.1298505976719375,1.1298505976719375,-1.9194722398605288,-1.9194722398605288,-1.9194722398605288,-1.781408,-1.781408,-1.781408,-0.13806423986052882,-0.13806423986052882,-0.13806423986052882,0.0,0.0,0.0,-0.7896216421885913
2022-08-27,1.1710024398602814,-4.649214314462313,1.3583719090338886,1.1710024398602814,1.1710024398602814,-2.7938154824011194,-2.7938154824011194,-2.7938154824011194,-1.781408,-1.781408,-1.781408,-1.012407482401119,-1.012407482401119,-1.012407482401119,0.0,0.0,0.0,-1.622813042540838
2022-08-28,1.2121542820486253,-4.613385474359575,1.1884439783395473,1.2121542820486253,1.2121542820486253,-2.988574636387154,-2.988574636387154,-2.988574636387154,-1.781408,-1.781408,-1.781408,-1.2071666363871534,-1.2071666363871534,-1.2071666363871534,0.0,0.0,0.0,-1.7764203543385286
