ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-10-25,0.00497088,0.21598123415470233,0.9622204891106495,0.00497088,0.00497088,0.5952379755733785,0.5952379755733785,0.5952379755733785,0.0762468,0.0762468,0.0762468,0.5189911755733787,0.5189911755733787,0.5189911755733787,0.0,0.0,0.0,0.6002088555733786
2022-10-26,0.019231834545454542,-0.2623093251582153,0.4663910396084623,0.019231834545454542,0.019231834545454542,0.08101856521935427,0.08101856521935427,0.08101856521935427,0.0762468,0.0762468,0.0762468,0.004771765219354273,0.004771765219354273,0.004771765219354273,0.0,0.0,0.0,0.10025039976480882
2022-10-27,0.03349278915315818,0.2148674315498747,0.9511548294431942,0.03349278915315818,0.03349278915315818,0.533290600000042,0.533290600000042,0.533290600000042,0.0762468,0.0762468,0.0762468,0.4570438000000421,0.4570438000000421,0.4570438000000421,0.0,0.0,0.0,0.5667833891532003
2022-10-28,0.04775374383222408,-0.46064329683413197,0.2800802208966682,0.04775374383222408,0.04775374383222408,-0.14756523285814754,-0.14756523285814754,-0.14756523285814754,0.0762468,0.0762468,0.0762468,-0.22381203285814757,-0.22381203285814757,-0.22381203285814757,0.0,0.0,0.0,-0.09981148902592346
2022-10-29,0.06201469849641681,-0.48948176397800847,0.2837572874991867,0.06201469849641681,0.06201469849641681,-0.16182480839327046,-0.16182480839327046,-0.16182480839327046,0.0762468,0.0762468,0.0762468,-0.2380716083932705,-0.2380716083932705,-0.2380716083932705,0.0,0.0,0.0,-0.09981010989685365
2022-10-30,0.07627565310812,-0.453637932493586,0.28571623454296585,0.07627565310812,0.07627565310812,-0.1760853640340126,-0.1760853640340126,-0.1760853640340126,0.0762468,0.0762468,0.0762468,-0.25233216403401265,-0.25233216403401265,-0.25233216403401265,0.0,0.0,0.0,-0.0998097109258926
2022-10-31,0.09053660761065681,-0.47756212779008106,0.2590942440469988,0.09053660761065681,0.09053660761065681,-0.19034413550665857,-0.19034413550665857,-0.19034413550665857,0.0762468,0.0762468,0.0762468,-0.26659093550665863,-0.26659093550665863,-0.26659093550665863,0.0,0.0,0.0,-0.09980752789600177
2022-11-01,0.1047975621551559,0.3384730493725357,1.0808393074529323,0.1047975621551559,0.1047975621551559,0.5952379755737766,0.5952379755737766,0.5952379755737766,0.0762468,0.0762468,0.0762468,0.5189911755737767,0.5189911755737767,0.5189911755737767,0.0,0.0,0.0,0.7000355377289325
2022-11-02,0.1190585167699968,-0.17497656759678196,0.5836326297051635,0.1190585167699968,0.1190585167699968,0.08101856521924562,0.08101856521924562,0.08101856521924562,0.0762468,0.0762468,0.0762468,0.004771765219245619,0.004771765219245619,0.004771765219245619,0.0,0.0,0.0,0.20007708198924243
2022-11-03,0.13331947132624228,0.28865076786039934,0.9985105133013936,0.13331947132624228,0.13331947132624228,0.5332905999996661,0.5332905999996661,0.5332905999996661,0.0762468,0.0762468,0.0762468,0.45704379999966616,0.45704379999966616,0.45704379999966616,0.0,0.0,0.0,0.6666100713259084
2022-11-04,0.14758042576687683,-0.39117229730455355,0.38050498063600674,0.14758042576687683,0.14758042576687683,-0.14756523285613232,-0.14756523285613232,-0.14756523285613232,0.0762468,0.0762468,0.0762468,-0.22381203285613235,-0.22381203285613235,-0.22381203285613235,0.0,0.0,0.0,1.5192910744504795e-05
2022-11-05,0.16184138023164302,-0.3558837483208422,0.3660860082727664,0.16184138023164302,0.16184138023164302,-0.16182480839390861,-0.16182480839390861,-0.16182480839390861,0.0762468,0.0762468,0.0762468,-0.23807160839390867,-0.23807160839390867,-0.23807160839390867,0.0,0.0,0.0,1.6571837734402628e-05
2022-11-06,0.17610233483801144,-0.3608357121790822,0.38515790326294574,0.17610233483801144,0.17610233483801144,-0.17608536403557612,-0.17608536403557612,-0.17608536403557612,0.0762468,0.0762468,0.0762468,-0.2523321640355762,-0.2523321640355762,-0.2523321640355762,0.0,0.0,0.0,1.6970802435317678e-05
2022-11-07,0.1903634311671072,-0.3476798545342575,0.41068300061920826,0.1903634311671072,0.1903634311671072,-0.19034413550820145,-0.19034413550820145,-0.19034413550820145,0.0762468,0.0762468,0.0762468,-0.2665909355082015,-0.2665909355082015,-0.2665909355082015,0.0,0.0,0.0,1.9295658905738033e-05
2022-11-08,0.20462452764246428,0.4248178875280593,1.1828595774377275,0.20462452764246428,0.20462452764246428,0.5952379755732485,0.5952379755732485,0.5952379755732485,0.0762468,0.0762468,0.0762468,0.5189911755732487,0.5189911755732487,0.5189911755732487,0.0,0.0,0.0,0.7998625032157128
2022-11-09,0.21888562421317043,-0.0610943668347692,0.6613712413422728,0.21888562421317043,0.21888562421317043,0.0810185652192335,0.0810185652192335,0.0810185652192335,0.0762468,0.0762468,0.0762468,0.0047717652192334915,0.0047717652192334915,0.0047717652192334915,0.0,0.0,0.0,0.29990418943240393
2022-11-10,0.2331467207473623,0.37420560058733093,1.1451006767180907,0.2331467207473623,0.2331467207473623,0.5332905999992902,0.5332905999992902,0.5332905999992902,0.0762468,0.0762468,0.0762468,0.45704379999929023,0.45704379999929023,0.45704379999929023,0.0,0.0,0.0,0.7664373207466525
