ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-08-12,0.6862653000000001,-1.978465971826373,1.2241260948683763,0.6862653000000001,0.6862653000000001,-1.0755046333079405,-1.0755046333079405,-1.0755046333079405,-1.2516156,-1.2516156,-1.2516156,0.17611096669205947,0.17611096669205947,0.17611096669205947,0.0,0.0,0.0,-0.38923933330794047
2022-08-13,0.7057415621359224,-2.807979873195809,0.5579255580007877,0.7057415621359224,0.7057415621359224,-1.8306700215457892,-1.8306700215457892,-1.8306700215457892,-1.2516156,-1.2516156,-1.2516156,-0.5790544215457892,-0.5790544215457892,-0.5790544215457892,0.0,0.0,0.0,-1.1249284594098667
2022-08-14,0.7252178242718448,-2.7452073760048536,0.5284011484929968,0.7252178242718448,0.7252178242718448,-1.8607886400586002,-1.8607886400586002,-1.8607886400586002,-1.2516156,-1.2516156,-1.2516156,-0.6091730400586004,-0.6091730400586004,-0.6091730400586004,0.0,0.0,0.0,-1.1355708157867554
2022-08-15,0.744694086407767,-2.2520681725870086,0.9440408420424129,0.744694086407767,0.744694086407767,-1.4295246884200743,-1.4295246884200743,-1.4295246884200743,-1.2516156,-1.2516156,-1.2516156,-0.17790908842007422,-0.17790908842007422,-0.17790908842007422,0.0,0.0,0.0,-0.6848306020123073
2022-08-16,0.7641703484495284,-1.3161695428151878,1.958717117351468,0.7641703484495284,0.7641703484495284,-0.40500298956041,-0.40500298956041,-0.40500298956041,-1.2516156,-1.2516156,-1.2516156,0.8466126104395901,0.8466126104395901,0.8466126104395901,0.0,0.0,0.0,0.3591673588891184
2022-08-17,0.7836466104912898,-2.0315661775219214,1.1763137548413978,0.7836466104912898,0.7836466104912898,-1.2271761271051873,-1.2271761271051873,-1.2271761271051873,-1.2516156,-1.2516156,-1.2516156,0.02443947289481265,0.02443947289481265,0.02443947289481265,0.0,0.0,0.0,-0.4435295166138975
2022-08-18,0.8031228725330511,-1.8767355128861554,1.5209080590621329,0.8031228725330511,0.8031228725330511,-0.9326421000004685,-0.9326421000004685,-0.9326421000004685,-1.2516156,-1.2516156,-1.2516156,0.31897349999953156,0.31897349999953156,0.31897349999953156,0.0,0.0,0.0,-0.1295192274674174
2022-08-19,0.8225991345748126,-1.8998192022768219,1.415256605491218,0.8225991345748126,0.8225991345748126,-1.0755046333077751,-1.0755046333077751,-1.0755046333077751,-1.2516156,-1.2516156,-1.2516156,0.17611096669222484,0.17611096669222484,0.17611096669222484,0.0,0.0,0.0,-0.25290549873296253
2022-08-20,0.8420753966298364,-2.7312731396252183,0.652219450405126,0.8420753966298364,0.8420753966298364,-1.8306700215450158,-1.8306700215450158,-1.8306700215450158,-1.2516156,-1.2516156,-1.2516156,-0.5790544215450157,-0.5790544215450157,-0.5790544215450157,0.0,0.0,0.0,-0.9885946249151794
2022-08-21,0.8615516586848606,-2.600674472916924,0.6462098764386783,0.8615516586848606,0.8615516586848606,-1.8607886400580154,-1.8607886400580154,-1.8607886400580154,-1.2516156,-1.2516156,-1.2516156,-0.6091730400580155,-0.6091730400580155,-0.6091730400580155,0.0,0.0,0.0,-0.9992369813731548
2022-08-22,0.8810279207398846,-2.2000715184945743,1.0212435715883061,0.8810279207398846,0.8810279207398846,-1.4295246884228947,-1.4295246884228947,-1.4295246884228947,-1.2516156,-1.2516156,-1.2516156,-0.17790908842289468,-0.17790908842289468,-0.17790908842289468,0.0,0.0,0.0,-0.5484967676830101
2022-08-23,0.9005041829008001,-1.210183797779799,2.0471578428845296,0.9005041829008001,0.9005041829008001,-0.40500298956008096,-0.40500298956008096,-0.40500298956008096,-1.2516156,-1.2516156,-1.2516156,0.8466126104399191,0.8466126104399191,0.8466126104399191,0.0,0.0,0.0,0.4955011933407192
2022-08-24,0.9199804450617157,-1.935717427538628,1.2697152337123956,0.9199804450617157,0.9199804450617157,-1.2271761271052333,-1.2271761271052333,-1.2271761271052333,-1.2516156,-1.2516156,-1.2516156,0.024439472894766785,0.024439472894766785,0.024439472894766785,0.0,0.0,0.0,-0.30719568204351755
2022-08-25,0.9394567072226314,-1.6390335870891066,1.7081128719396939,0.9394567072226314,0.9394567072226314,-0.932642099999107,-0.932642099999107,-0.932642099999107,-1.2516156,-1.2516156,-1.2516156,0.3189735000008932,0.3189735000008932,0.3189735000008932,0.0,0.0,0.0,0.006814607223524449
2022-08-26,0.9589329691100528,-1.7979484632762006,1.5458804903415557,0.9589329691100528,0.9589329691100528,-1.0755046333094667,-1.0755046333094667,-1.0755046333094667,-1.2516156,-1.2516156,-1.2516156,0.1761109666905334,0.1761109666905334,0.1761109666905334,0.0,0.0,0.0,-0.1165716641994139
2022-08-27,0.978409230997474,-2.5353953302121783,0.9403995021614431,0.978409230997474,0.978409230997474,-1.8306700215477736,-1.8306700215477736,-1.8306700215477736,-1.2516156,-1.2516156,-1.2516156,-0.5790544215477735,-0.5790544215477735,-0.5790544215477735,0.0,0.0,0.0,-0.8522607905502996
2022-08-28,0.9978854928848954,-2.5101039683069173,0.7650655879657872,0.9978854928848954,0.9978854928848954,-1.8607886400574305,-1.8607886400574305,-1.8607886400574305,-1.2516156,-1.2516156,-1.2516156,-0.6091730400574308,-0.6091730400574308,-0.6091730400574308,0.0,0.0,0.0,-0.8629031471725351
