ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-10-27,0.00459052,-0.16518899921483807,0.5879524732100279,0.00459052,0.00459052,0.22198553999936094,0.22198553999936094,0.22198553999936094,0.073544,0.073544,0.073544,0.1484415399993609,0.1484415399993609,0.1484415399993609,0.0,0.0,0.0,0.22657605999936092
2022-10-28,0.00682317,-0.16576747755372093,0.5706778905438741,0.00682317,0.00682317,0.21975329684429834,0.21975329684429834,0.21975329684429834,0.073544,0.073544,0.073544,0.14620929684429831,0.14620929684429831,0.14620929684429831,0.0,0.0,0.0,0.22657646684429833
2022-10-29,0.009055820005586385,-0.3807869328603981,0.32826758519042987,0.009055820005586385,0.009055820005586385,-0.0324851978363874,-0.0324851978363874,-0.0324851978363874,0.073544,0.073544,0.073544,-0.1060291978363874,-0.1060291978363874,-0.1060291978363874,0.0,0.0,0.0,-0.023429377830801013
2022-10-30,0.01128847003947877,-0.38357878816611296,0.3490465394607221,0.01128847003947877,0.01128847003947877,-0.034716750273799044,-0.034716750273799044,-0.034716750273799044,0.073544,0.073544,0.073544,-0.10826075027379904,-0.10826075027379904,-0.10826075027379904,0.0,0.0,0.0,-0.023428280234320274
2022-10-31,0.013521120058244617,-0.392643642288948,0.345640387494351,0.013521120058244617,0.013521120058244617,-0.03694882974666336,-0.03694882974666336,-0.03694882974666336,0.073544,0.073544,0.073544,-0.11049282974666336,-0.11049282974666336,-0.11049282974666336,0.0,0.0,0.0,-0.023427709688418744
2022-11-01,0.015753770106590233,-0.13786254349612043,0.5779904942472647,0.015753770106590233,0.015753770106590233,0.21082758282596126,0.21082758282596126,0.21082758282596126,0.073544,0.073544,0.073544,0.1372835828259612,0.1372835828259612,0.1372835828259612,0.0,0.0,0.0,0.2265813529325515
2022-11-02,0.017986420167848807,-0.3805953452499259,0.3661877450562263,0.017986420167848807,0.017986420167848807,-0.03360764181328488,-0.03360764181328488,-0.03360764181328488,0.073544,0.073544,0.073544,-0.10715164181328488,-0.10715164181328488,-0.10715164181328488,0.0,0.0,0.0,-0.01562122164543607
2022-11-03,0.020219070211452347,-0.09651344048499412,0.6184357360098804,0.020219070211452347,0.020219070211452347,0.22198553999934312,0.22198553999934312,0.22198553999934312,0.073544,0.073544,0.073544,0.1484415399993431,0.1484415399993431,0.1484415399993431,0.0,0.0,0.0,0.24220461021079548
2022-11-04,0.022451720265002733,-0.13588612999935845,0.6010038563247813,0.022451720265002733,0.022451720265002733,0.21975329684511596,0.21975329684511596,0.21975329684511596,0.073544,0.073544,0.073544,0.14620929684511594,0.14620929684511594,0.14620929684511594,0.0,0.0,0.0,0.2422050171101187
2022-11-05,0.024684370296190385,-0.39914818728940304,0.3752329939187389,0.024684370296190385,0.024684370296190385,-0.03248519783673226,-0.03248519783673226,-0.03248519783673226,0.073544,0.073544,0.073544,-0.10602919783673226,-0.10602919783673226,-0.10602919783673226,0.0,0.0,0.0,-0.007800827540541875
2022-11-06,0.02691702030887054,-0.3351019654687276,0.3597326789676826,0.02691702030887054,0.02691702030887054,-0.034716750274139035,-0.034716750274139035,-0.034716750274139035,0.073544,0.073544,0.073544,-0.10826075027413903,-0.10826075027413903,-0.10826075027413903,0.0,0.0,0.0,-0.007799729965268495
2022-11-07,0.029149670309538578,-0.365985354287293,0.3962650767560409,0.029149670309538578,0.029149670309538578,-0.03694882974728357,-0.03694882974728357,-0.03694882974728357,0.073544,0.073544,0.073544,-0.11049282974728357,-0.11049282974728357,-0.11049282974728357,0.0,0.0,0.0,-0.007799159437744993
2022-11-08,0.03138232031187143,-0.14748819768769938,0.5936017934551667,0.03138232031187143,0.03138232031187143,0.21082758282598935,0.21082758282598935,0.21082758282598935,0.073544,0.073544,0.073544,0.1372835828259893,0.1372835828259893,0.1372835828259893,0.0,0.0,0.0,0.24220990313786078
2022-11-09,0.03361497029986974,-0.38733548977952814,0.38787906147068707,0.03361497029986974,0.03361497029986974,-0.03360764181318275,-0.03360764181318275,-0.03360764181318275,0.073544,0.073544,0.073544,-0.10715164181318275,-0.10715164181318275,-0.10715164181318275,0.0,0.0,0.0,7.32848668699021e-06
2022-11-10,0.035847620294374244,-0.09092573178286072,0.6294259030927684,0.035847620294374244,0.035847620294374244,0.22198553999932524,0.22198553999932524,0.22198553999932524,0.073544,0.073544,0.073544,0.14844153999932522,0.14844153999932522,0.14844153999932522,0.0,0.0,0.0,0.2578331602936995
2022-11-11,0.03808027031376251,-0.08934461637814813,0.621110224733422,0.03808027031376251,0.03808027031376251,0.21975329684447387,0.21975329684447387,0.21975329684447387,0.073544,0.073544,0.073544,0.14620929684447384,0.14620929684447384,0.14620929684447384,0.0,0.0,0.0,0.25783356715823635
2022-11-12,0.0403129203181646,-0.3715301484287563,0.3515016293820786,0.0403129203181646,0.0403129203181646,-0.03248519783603872,-0.03248519783603872,-0.03248519783603872,0.073544,0.073544,0.073544,-0.10602919783603872,-0.10602919783603872,-0.10602919783603872,0.0,0.0,0.0,0.007827722482125883
2022-11-13,0.042545570302990526,-0.3795760111549767,0.35545357124142746,0.042545570302990526,0.042545570302990526,-0.034716750274478986,-0.034716750274478986,-0.034716750274478986,0.073544,0.073544,0.073544,-0.10826075027447898,-0.10826075027447898,-0.10826075027447898,0.0,0.0,0.0,0.00782882002851154
